SourceName,CaseDataAssetName,ContainerType,ShopCategory,PriceGold,XPReward,RequiredRank
Sealed Genesis Terminal,Sealed Genesis Terminal,WeaponCase,Cases,1.25,1,Silver I
Kilowatt Case,Kilowatt Case,WeaponCase,Cases,1.65,1,Silver I
Revolution Case,Revolution Case,WeaponCase,Cases,1.9,1,Silver I
Recoil Case,Recoil Case,WeaponCase,Cases,2.15,2,Silver II
The Lake Collection,The Lake Collection Package,CollectionPackage,Collections,3,2,Silver I
Fracture Case,Fracture Case,WeaponCase,Cases,3.1,2,Silver II
Snakebite Case,Snakebite Case,WeaponCase,Cases,3.2,2,Silver II
The Train Collection,The Train Collection Package,CollectionPackage,Collections,4.5,3,Silver I
The Italy Collection,The Italy Collection Package,CollectionPackage,Collections,5,3,Silver II
Clutch Case,Clutch Case,WeaponCase,Cases,5.3,3,Silver III
CS20 Case,CS20 Case,WeaponCase,Cases,5.6,3,Silver III
Fever Case,Fever Case,WeaponCase,Cases,6.15,4,Silver III
Shadow Case,Shadow Case,WeaponCase,Cases,6.3,4,Silver III
The Dust 2 Collection,The Dust 2 Collection Package,CollectionPackage,Collections,6.8,5,Silver II
Gallery Case,Gallery Case,WeaponCase,Cases,7.2,5,Silver III
The Bank Collection,The Bank Collection Package,CollectionPackage,Collections,8.5,6,Silver II
Falchion Case,Falchion Case,WeaponCase,Cases,9.2,6,Silver III
Sealed Dead Hand Terminal,Sealed Dead Hand Terminal,WeaponCase,Cases,10.5,7,Silver Elite
Prisma 2 Case,Prisma 2 Case,WeaponCase,Cases,11.5,7,Silver Elite
Dreams & Nightmares Case,Dreams & Nightmares Case,WeaponCase,Cases,12.3,8,Silver Elite
Huntsman Weapon Case,Huntsman Weapon Case,WeaponCase,Cases,12.95,8,Silver Elite
Prisma Case,Prisma Case,WeaponCase,Cases,13,8,Silver Elite
Spectrum Case,Spectrum Case,WeaponCase,Cases,13.4,8,Silver Elite
Danger Zone Case,Danger Zone Case,WeaponCase,Cases,14.2,9,Silver Elite
Gamma Case,Gamma Case,WeaponCase,Cases,15.2,9,Silver Elite Master
Horizon Case,Horizon Case,WeaponCase,Cases,15.3,9,Silver Elite Master
The Aztec Collection,The Aztec Collection Package,CollectionPackage,Collections,15.5,10,Silver III
Operation Wildfire Case,Operation Wildfire Case,WeaponCase,Cases,16.3,10,Silver Elite Master
Operation Phoenix Weapon Case,Operation Phoenix Weapon Case,WeaponCase,Cases,16.7,11,Silver Elite Master
Revolver Case,Revolver Case,WeaponCase,Cases,18.3,12,Silver Elite Master
Chroma 3 Case,Chroma 3 Case,WeaponCase,Cases,18.4,12,Silver Elite Master
Operation Vanguard Weapon Case,Operation Vanguard Weapon Case,WeaponCase,Cases,19.25,13,Silver Elite Master
Gamma 2 Case,Gamma 2 Case,WeaponCase,Cases,19.3,13,Silver Elite Master
The Safehouse Collection,The Safehouse Collection Package,CollectionPackage,Collections,19.8,13,Silver III
Chroma Case,Chroma Case,WeaponCase,Cases,20.65,14,Gold Nova I
The Cache Collection,The Cache Collection Package,CollectionPackage,Collections,21.9,15,Silver III
Chroma 2 Case,Chroma 2 Case,WeaponCase,Cases,22.2,16,Gold Nova I
Operation Broken Fang Case,Operation Broken Fang Case,WeaponCase,Cases,22.3,16,Gold Nova I
Spectrum 2 Case,Spectrum 2 Case,WeaponCase,Cases,25.2,16,Gold Nova II
Winter Offensive Weapon Case,Winter Offensive Weapon Case,WeaponCase,Cases,25.2,16,Gold Nova II
Shattered Web Case,Shattered Web Case,WeaponCase,Cases,25.3,17,Gold Nova II
The Vertigo Collection,The Vertigo Collection Package,CollectionPackage,Collections,28.5,17,Silver III
Operation Riptide Case,Operation Riptide Case,WeaponCase,Cases,28.65,18,Gold Nova II
Operation Breakout Weapon Case,Operation Breakout Weapon Case,WeaponCase,Cases,29.3,20,Gold Nova II
The Train Collection,Souvenir Train Package,SouvenirPackage,SouvenirCollections,30,20,Silver Elite Master
CS:GO Weapon Case 3,CS:GO Weapon Case 3,WeaponCase,Cases,30.85,21,Gold Nova III
The 2018 Inferno Collection,The 2018 Inferno Collection Package,CollectionPackage,Collections,35,21,Silver Elite
eSports 2014 Summer Case,eSports 2014 Summer Case,WeaponCase,Cases,37.1,22,Gold Nova III
The Inferno Collection,The Inferno Collection Package,CollectionPackage,Collections,39,22,Silver Elite
Glove Case,Glove Case,WeaponCase,Cases,47.3,24,Gold Nova Master
The 2018 Nuke Collection,The 2018 Nuke Collection Package,CollectionPackage,Collections,48,24,Silver Elite
eSports 2013 Winter Case,eSports 2013 Winter Case,WeaponCase,Cases,51.5,26,Gold Nova Master
