SkinApiId,WeaponName,FinishName,SourceSheet,FNPrice,MWPrice,FTPrice,WWPrice,BSPrice,STFNPrice,STMWPrice,STFTPrice,STWWPrice,STBSPrice,VanillaPrice,VanillaStatTrakPrice
skin_bayonet_vanilla,Bayonet,★ (Vanilla),Bayonet,,,,,,,,,,,9340,11690
skin_bayonet_crimson_web,Bayonet,Crimson Web,Bayonet,20060,17990,15670,14280,13110,27260,24230,20990,18910,17280,,
skin_bayonet_fade,Bayonet,Fade,Bayonet,10380,9560,,,,13220,12020,,,,,
skin_bayonet_blue_steel,Bayonet,Blue Steel,Bayonet,8260,7720,7110,6750,6450,10140,9350,8510,7960,7540,,
skin_bayonet_stained,Bayonet,Stained,Bayonet,7660,7200,6680,6370,6110,9270,8600,7870,7410,7040,,
skin_bayonet_case_hardened,Bayonet,Case Hardened,Bayonet,10380,9560,8650,8100,7650,13220,12020,10760,9920,9290,,
skin_bayonet_forest_ddpat,Bayonet,Forest DDPAT,Bayonet,8160,7630,7040,6690,6390,10000,9230,8400,7870,7450,,
skin_bayonet_safari_mesh,Bayonet,Safari Mesh,Bayonet,7860,7370,6820,6490,6220,9560,8850,8080,7590,7210,,
skin_bayonet_boreal_forest,Bayonet,Boreal Forest,Bayonet,7960,7460,6900,6560,6280,9700,8980,8190,7680,7290,,
skin_bayonet_scorched,Bayonet,Scorched,Bayonet,7910,7420,6860,6530,6250,9650,8920,8140,7630,7250,,
skin_bayonet_urban_masked,Bayonet,Urban Masked,Bayonet,8160,7630,7040,6690,6390,10000,9230,8400,7870,7450,,
skin_bayonet_night,Bayonet,Night,Bayonet,9190,8520,7790,7340,6970,11470,10520,9490,8820,8300,,
skin_bayonet_slaughter,Bayonet,Slaughter,Bayonet,10950,10050,9060,,,14040,12750,11340,,,,
skin_bayonet_damascus_steel,Bayonet,Damascus Steel,Bayonet,7960,7460,6900,6560,6280,9700,8980,8190,7680,7290,,
skin_bayonet_doppler_phase_1,Bayonet,Doppler (Phase 1),Bayonet,16270,14690,,,,21780,19460,,,,,
skin_bayonet_doppler_phase_2,Bayonet,Doppler (Phase 2),Bayonet,18120,16300,,,,24450,21800,,,,,
skin_bayonet_doppler_phase_3,Bayonet,Doppler (Phase 3),Bayonet,15290,13820,,,,20330,18210,,,,,
skin_bayonet_doppler_phase_4,Bayonet,Doppler (Phase 4),Bayonet,16840,15180,,,,22570,20170,,,,,
skin_bayonet_doppler_ruby,Bayonet,Doppler (Ruby),Bayonet,27670,24590,,,,38270,33800,,,,,
skin_bayonet_doppler_sapphire,Bayonet,Doppler (Sapphire),Bayonet,28480,25290,,,,39420,34840,,,,,
skin_bayonet_doppler_black_pearl,Bayonet,Doppler (Black Pearl),Bayonet,49230,43340,,,,69510,61010,,,,,
skin_bayonet_marble_fade,Bayonet,Marble Fade,Bayonet,10850,9970,,,,13900,12620,,,,,
skin_bayonet_rust_coat,Bayonet,Rust Coat,Bayonet,,,,6160,5920,,,,7100,6770,,
skin_bayonet_tiger_tooth,Bayonet,Tiger Tooth,Bayonet,10380,9560,,,,13220,12020,,,,,
skin_bayonet_ultraviolet,Bayonet,Ultraviolet,Bayonet,8900,8270,7570,7150,6810,11060,10160,9180,8550,8060,,
skin_bayonet_autotronic,Bayonet,Autotronic,Bayonet,10050,9280,8410,7890,7460,12730,11610,10410,9620,9010,,
skin_bayonet_black_laminate,Bayonet,Black Laminate,Bayonet,8260,7720,7110,6750,6450,10140,9350,8510,7960,7540,,
skin_bayonet_bright_water,Bayonet,Bright Water,Bayonet,7960,7460,6900,6560,6280,9700,8980,8190,7680,7290,,
skin_bayonet_freehand,Bayonet,Freehand,Bayonet,8160,7630,7040,6690,6390,10000,9230,8400,7870,7450,,
skin_bayonet_gamma_doppler_phase_1,Bayonet,Gamma Doppler (Phase 1),Bayonet,13350,12130,,,,17500,15750,,,,,
skin_bayonet_gamma_doppler_phase_2,Bayonet,Gamma Doppler (Phase 2),Bayonet,14960,13540,,,,19840,17800,,,,,
skin_bayonet_gamma_doppler_phase_3,Bayonet,Gamma Doppler (Phase 3),Bayonet,13160,11990,,,,17250,15530,,,,,
skin_bayonet_gamma_doppler_phase_4,Bayonet,Gamma Doppler (Phase 4),Bayonet,13650,12400,,,,17960,16160,,,,,
skin_bayonet_gamma_doppler_emerald,Bayonet,Gamma Doppler (Emerald),Bayonet,29710,26360,,,,41210,36360,,,,,
skin_bayonet_lore,Bayonet,Lore,Bayonet,9810,9070,8240,7740,7320,12400,11310,10140,9400,8820,,
skin_bowie_knife_vanilla,Bowie Knife,★ (Vanilla),Bowie Knife,,,,,,,,,,,5170,5650
skin_bowie_knife_crimson_web,Bowie Knife,Crimson Web,Bowie Knife,19020,17060,14910,13600,12540,25730,22900,19870,17930,16410,,
skin_bowie_knife_fade,Bowie Knife,Fade,Bowie Knife,8110,7590,,,,9920,9160,,,,,
skin_bowie_knife_blue_steel,Bowie Knife,Blue Steel,Bowie Knife,8770,8160,7480,7070,6730,10870,10000,9050,8430,7960,,
skin_bowie_knife_stained,Bowie Knife,Stained,Bowie Knife,6100,5830,5540,5370,5220,7000,6620,6210,5950,5750,,
