SkinApiId,WeaponName,FinishName,SourceSheet,FNPrice,MWPrice,FTPrice,WWPrice,BSPrice,STFNPrice,STMWPrice,STFTPrice,STWWPrice,STBSPrice,VanillaPrice,VanillaStatTrakPrice
skin_bayonet_vanilla,Bayonet,★ (Vanilla),Bayonet,,,,,,,,,,,2525,3225
skin_bayonet_crimson_web,Bayonet,Crimson Web,Bayonet,12350,9400,7150,6200,5300,16550,12600,9600,8300,7100,,
skin_bayonet_fade,Bayonet,Fade,Bayonet,7200,5500,,,,9650,7350,,,,,
skin_bayonet_blue_steel,Bayonet,Blue Steel,Bayonet,1550,1175,900,770,660,2075,1575,1200,1025,890,,
skin_bayonet_stained,Bayonet,Stained,Bayonet,1375,1050,800,690,590,1850,1400,1075,920,790,,
skin_bayonet_case_hardened,Bayonet,Case Hardened,Bayonet,3100,2350,1800,1550,1325,4150,3150,2400,2075,1775,,
skin_bayonet_forest_ddpat,Bayonet,Forest DDPAT,Bayonet,820,630,480,410,370,1100,840,640,550,470,,
skin_bayonet_safari_mesh,Bayonet,Safari Mesh,Bayonet,690,520,440,410,370,920,700,560,510,460,,
skin_bayonet_boreal_forest,Bayonet,Boreal Forest,Bayonet,860,650,500,430,370,1150,870,670,580,490,,
skin_bayonet_scorched,Bayonet,Scorched,Bayonet,760,570,440,410,370,1000,770,590,510,460,,
skin_bayonet_urban_masked,Bayonet,Urban Masked,Bayonet,930,700,540,460,400,1250,940,720,620,530,,
skin_bayonet_night,Bayonet,Night,Bayonet,2400,1825,1400,1200,1025,3225,2450,1875,1600,1375,,
skin_bayonet_slaughter,Bayonet,Slaughter,Bayonet,3600,2750,2100,,,4825,3675,2800,,,,
skin_bayonet_damascus_steel,Bayonet,Damascus Steel,Bayonet,1725,1300,1000,860,740,2300,1750,1325,1150,990,,
skin_bayonet_doppler_phase_1,Bayonet,Doppler (Phase 1),Bayonet,8250,6250,,,,11050,8400,,,,,
skin_bayonet_doppler_phase_2,Bayonet,Doppler (Phase 2),Bayonet,11000,8350,,,,14700,11200,,,,,
skin_bayonet_doppler_phase_3,Bayonet,Doppler (Phase 3),Bayonet,7200,5500,,,,9650,7350,,,,,
skin_bayonet_doppler_phase_4,Bayonet,Doppler (Phase 4),Bayonet,9600,7300,,,,12900,9800,,,,,
skin_bayonet_doppler_ruby,Bayonet,Doppler (Ruby),Bayonet,23300,17750,,,,31300,23800,,,,,
skin_bayonet_doppler_sapphire,Bayonet,Doppler (Sapphire),Bayonet,25700,19550,,,,34500,26200,,,,,
skin_bayonet_doppler_black_pearl,Bayonet,Doppler (Black Pearl),Bayonet,34300,26100,,,,46000,35000,,,,,
skin_bayonet_marble_fade,Bayonet,Marble Fade,Bayonet,4950,3825,,,,6500,5050,,,,,
skin_bayonet_rust_coat,Bayonet,Rust Coat,Bayonet,,,,930,800,,,,1250,1075,,
skin_bayonet_tiger_tooth,Bayonet,Tiger Tooth,Bayonet,4975,3775,,,,6650,5050,,,,,
skin_bayonet_ultraviolet,Bayonet,Ultraviolet,Bayonet,2200,1675,1275,1100,940,2950,2225,1700,1475,1275,,
skin_bayonet_autotronic,Bayonet,Autotronic,Bayonet,3950,3000,2300,1975,1700,5300,4025,3075,2650,2275,,
skin_bayonet_black_laminate,Bayonet,Black Laminate,Bayonet,2000,1525,1150,1000,860,2675,2025,1550,1325,1150,,
skin_bayonet_bright_water,Bayonet,Bright Water,Bayonet,1850,1400,1075,930,800,2475,1900,1450,1250,1075,,
skin_bayonet_freehand,Bayonet,Freehand,Bayonet,2050,1575,1200,1025,890,2750,2100,1600,1375,1175,,
skin_bayonet_gamma_doppler_phase_1,Bayonet,Gamma Doppler (Phase 1),Bayonet,8600,6500,,,,11500,8750,,,,,
skin_bayonet_gamma_doppler_phase_2,Bayonet,Gamma Doppler (Phase 2),Bayonet,11650,8850,,,,15650,11900,,,,,
skin_bayonet_gamma_doppler_phase_3,Bayonet,Gamma Doppler (Phase 3),Bayonet,7550,5750,,,,10100,7700,,,,,
skin_bayonet_gamma_doppler_phase_4,Bayonet,Gamma Doppler (Phase 4),Bayonet,9950,7550,,,,13350,10150,,,,,
skin_bayonet_gamma_doppler_emerald,Bayonet,Gamma Doppler (Emerald),Bayonet,28100,21400,,,,37700,28700,,,,,
skin_bayonet_lore,Bayonet,Lore,Bayonet,4625,3525,2700,2325,2000,6200,4725,3600,3100,2675,,
skin_bowie_knife_vanilla,Bowie Knife,★ (Vanilla),Bowie Knife,,,,,,,,,,,770,980
skin_bowie_knife_crimson_web,Bowie Knife,Crimson Web,Bowie Knife,3750,2850,2175,1875,1625,5050,3825,2925,2525,2175,,
skin_bowie_knife_fade,Bowie Knife,Fade,Bowie Knife,2200,1675,,,,2950,2225,,,,,
skin_bowie_knife_blue_steel,Bowie Knife,Blue Steel,Bowie Knife,470,360,270,235,200,630,480,370,320,270,,
skin_bowie_knife_stained,Bowie Knife,Stained,Bowie Knife,420,320,240,210,180,560,430,320,280,240,,
skin_bowie_knife_case_hardened,Bowie Knife,Case Hardened,Bowie Knife,940,710,550,470,400,1250,960,730,630,540,,
skin_bowie_knife_forest_ddpat,Bowie Knife,Forest DDPAT,Bowie Knife,280,235,210,195,175,350,300,260,240,220,,
skin_bowie_knife_safari_mesh,Bowie Knife,Safari Mesh,Bowie Knife,280,235,210,195,175,350,300,260,240,220,,
skin_bowie_knife_boreal_forest,Bowie Knife,Boreal Forest,Bowie Knife,280,235,210,195,175,350,300,260,240,220,,
skin_bowie_knife_scorched,Bowie Knife,Scorched,Bowie Knife,280,235,210,195,175,350,300,260,240,220,,
skin_bowie_knife_urban_masked,Bowie Knife,Urban Masked,Bowie Knife,280,235,210,195,175,380,300,260,240,220,,
skin_bowie_knife_night,Bowie Knife,Night,Bowie Knife,730,560,420,370,310,980,740,570,490,420,,
skin_bowie_knife_slaughter,Bowie Knife,Slaughter,Bowie Knife,1100,830,640,,,1475,1125,850,,,,
skin_bowie_knife_damascus_steel,Bowie Knife,Damascus Steel,Bowie Knife,520,400,300,260,225,"201,1",700,530,460,400,,
skin_bowie_knife_doppler_phase_1,Bowie Knife,Doppler (Phase 1),Bowie Knife,2500,1900,,,,3350,2550,,,,,
skin_bowie_knife_doppler_phase_2,Bowie Knife,Doppler (Phase 2),Bowie Knife,3350,2550,,,,4475,3400,,,,,
skin_bowie_knife_doppler_phase_3,Bowie Knife,Doppler (Phase 3),Bowie Knife,2200,1675,,,,2950,2225,,,,,
skin_bowie_knife_doppler_phase_4,Bowie Knife,Doppler (Phase 4),Bowie Knife,2925,2225,,,,3925,2975,,,,,
skin_bowie_knife_doppler_ruby,Bowie Knife,Doppler (Ruby),Bowie Knife,7100,5400,,,,9500,7250,,,,,
skin_bowie_knife_doppler_sapphire,Bowie Knife,Doppler (Sapphire),Bowie Knife,7850,5950,,,,10500,8000,,,,,
skin_bowie_knife_doppler_black_pearl,Bowie Knife,Doppler (Black Pearl),Bowie Knife,10450,7950,,,,14000,10650,,,,,
skin_bowie_knife_marble_fade,Bowie Knife,Marble Fade,Bowie Knife,1575,1200,,,,2100,1600,,,,,
skin_bowie_knife_rust_coat,Bowie Knife,Rust Coat,Bowie Knife,,,,280,245,,,,380,330,,
skin_bowie_knife_tiger_tooth,Bowie Knife,Tiger Tooth,Bowie Knife,1525,1150,,,,2025,1550,,,,,
skin_bowie_knife_ultraviolet,Bowie Knife,Ultraviolet,Bowie Knife,670,510,390,330,290,900,680,520,450,390,,
skin_bowie_knife_autotronic,Bowie Knife,Autotronic,Bowie Knife,1200,910,700,600,520,1600,1225,930,800,690,,
skin_bowie_knife_black_laminate,Bowie Knife,Black Laminate,Bowie Knife,610,460,350,300,260,810,620,470,410,350,,
skin_bowie_knife_bright_water,Bowie Knife,Bright Water,Bowie Knife,560,430,330,280,245,760,570,440,380,330,,
skin_bowie_knife_freehand,Bowie Knife,Freehand,Bowie Knife,630,480,360,310,270,840,640,490,420,360,,
skin_bowie_knife_gamma_doppler_phase_1,Bowie Knife,Gamma Doppler (Phase 1),Bowie Knife,2600,1975,,,,3500,2650,,,,,
skin_bowie_knife_gamma_doppler_phase_2,Bowie Knife,Gamma Doppler (Phase 2),Bowie Knife,3550,2700,,,,4750,3625,,,,,
skin_bowie_knife_gamma_doppler_phase_3,Bowie Knife,Gamma Doppler (Phase 3),Bowie Knife,2300,1750,,,,3075,2350,,,,,
skin_bowie_knife_gamma_doppler_phase_4,Bowie Knife,Gamma Doppler (Phase 4),Bowie Knife,3025,2300,,,,4050,3075,,,,,
skin_bowie_knife_gamma_doppler_emerald,Bowie Knife,Gamma Doppler (Emerald),Bowie Knife,8550,6500,,,,11500,8700,,,,,
skin_bowie_knife_lore,Bowie Knife,Lore,Bowie Knife,1400,1075,820,710,610,1900,1425,1100,950,810,,
skin_butterfly_knife_vanilla,Butterfly Knife,★ (Vanilla),Butterfly Knife,,,,,,,,,,,4950,6300
skin_butterfly_knife_crimson_web,Butterfly Knife,Crimson Web,Butterfly Knife,24200,18400,14000,12100,10400,32400,24600,18800,16200,13950,,
skin_butterfly_knife_fade,Butterfly Knife,Fade,Butterfly Knife,14100,10700,,,,18900,14350,,,,,
skin_butterfly_knife_blue_steel,Butterfly Knife,Blue Steel,Butterfly Knife,3025,2300,1750,1500,1300,4050,3075,2350,2025,1750,,
skin_butterfly_knife_stained,Butterfly Knife,Stained,Butterfly Knife,2675,2050,1550,1350,1150,3600,2725,2100,1800,1550,,
skin_butterfly_knife_case_hardened,Butterfly Knife,Case Hardened,Butterfly Knife,6050,4600,3500,3025,2600,8100,6150,4700,4050,3475,,
skin_butterfly_knife_forest_ddpat,Butterfly Knife,Forest DDPAT,Butterfly Knife,1600,1225,930,810,690,2150,1650,1250,1075,930,,
skin_butterfly_knife_safari_mesh,Butterfly Knife,Safari Mesh,Butterfly Knife,1350,1025,780,670,600,1800,1375,1050,900,770,,
skin_butterfly_knife_boreal_forest,Butterfly Knife,Boreal Forest,Butterfly Knife,1675,1275,970,840,720,2250,1700,1300,1125,970,,
skin_butterfly_knife_scorched,Butterfly Knife,Scorched,Butterfly Knife,1475,1125,860,740,640,1975,1500,1150,990,850,,
skin_butterfly_knife_urban_masked,Butterfly Knife,Urban Masked,Butterfly Knife,1825,1375,1050,910,780,2425,1850,1400,1225,1050,,
skin_butterfly_knife_night,Butterfly Knife,Night,Butterfly Knife,4700,3575,2725,2350,2025,6300,4800,3650,3150,2700,,
skin_butterfly_knife_slaughter,Butterfly Knife,Slaughter,Butterfly Knife,7050,5350,4100,,,9450,7200,5500,,,,
skin_butterfly_knife_damascus_steel,Butterfly Knife,Damascus Steel,Butterfly Knife,3350,2550,1950,1675,1450,4500,3425,2600,2250,1925,,
skin_butterfly_knife_doppler_phase_1,Butterfly Knife,Doppler (Phase 1),Butterfly Knife,16100,12250,,,,21600,16400,,,,,
skin_butterfly_knife_doppler_phase_2,Butterfly Knife,Doppler (Phase 2),Butterfly Knife,21500,16350,,,,28800,21900,,,,,
skin_butterfly_knife_doppler_phase_3,Butterfly Knife,Doppler (Phase 3),Butterfly Knife,14100,10700,,,,18900,14350,,,,,
skin_butterfly_knife_doppler_phase_4,Butterfly Knife,Doppler (Phase 4),Butterfly Knife,18800,14300,,,,25200,19150,,,,,
skin_butterfly_knife_doppler_ruby,Butterfly Knife,Doppler (Ruby),Butterfly Knife,45700,34700,,,,61200,46500,,,,,
skin_butterfly_knife_doppler_sapphire,Butterfly Knife,Doppler (Sapphire),Butterfly Knife,50400,38300,,,,67500,51300,,,,,
skin_butterfly_knife_doppler_black_pearl,Butterfly Knife,Doppler (Black Pearl),Butterfly Knife,67200,51000,,,,90000,68400,,,,,
skin_butterfly_knife_marble_fade,Butterfly Knife,Marble Fade,Butterfly Knife,9050,7100,,,,11550,9200,,,,,
skin_butterfly_knife_rust_coat,Butterfly Knife,Rust Coat,Butterfly Knife,,,,1825,1550,,,,2425,2100,,
skin_butterfly_knife_tiger_tooth,Butterfly Knife,Tiger Tooth,Butterfly Knife,9750,7400,,,,13050,9900,,,,,
skin_butterfly_knife_ultraviolet,Butterfly Knife,Ultraviolet,Butterfly Knife,4300,3275,2500,2150,1850,5750,4375,3350,2875,2475,,
skin_butterfly_knife_autotronic,Butterfly Knife,Autotronic,Butterfly Knife,7700,5850,4475,3850,3325,10350,7850,6000,5200,4450,,
skin_butterfly_knife_black_laminate,Butterfly Knife,Black Laminate,Butterfly Knife,3900,2950,2250,1950,1675,5200,3975,3025,2600,2250,,
skin_butterfly_knife_bright_water,Butterfly Knife,Bright Water,Butterfly Knife,3625,2750,2100,1825,1550,4850,3700,2825,2425,2100,,
skin_butterfly_knife_freehand,Butterfly Knife,Freehand,Butterfly Knife,4025,3075,2325,2025,1725,5400,4100,3125,2700,2325,,
skin_butterfly_knife_gamma_doppler_phase_1,Butterfly Knife,Gamma Doppler (Phase 1),Butterfly Knife,16800,12750,,,,22500,17100,,,,,
skin_butterfly_knife_gamma_doppler_phase_2,Butterfly Knife,Gamma Doppler (Phase 2),Butterfly Knife,22800,17350,,,,30600,23300,,,,,
skin_butterfly_knife_gamma_doppler_phase_3,Butterfly Knife,Gamma Doppler (Phase 3),Butterfly Knife,14800,11250,,,,19800,15050,,,,,
skin_butterfly_knife_gamma_doppler_phase_4,Butterfly Knife,Gamma Doppler (Phase 4),Butterfly Knife,19500,14800,,,,26100,19850,,,,,
skin_butterfly_knife_gamma_doppler_emerald,Butterfly Knife,Gamma Doppler (Emerald),Butterfly Knife,55100,41900,,,,73800,56100,,,,,
skin_butterfly_knife_lore,Butterfly Knife,Lore,Butterfly Knife,9050,6900,5250,4525,3900,12150,9250,7050,6100,5200,,
skin_classic_knife_vanilla,Classic Knife,★ (Vanilla),Classic Knife,,,,,,,,,,,470,600
skin_classic_knife_crimson_web,Classic Knife,Crimson Web,Classic Knife,6350,4825,3675,3175,2725,8500,6450,4925,4250,3650,,
skin_classic_knife_fade,Classic Knife,Fade,Classic Knife,3700,2800,,,,4950,3775,,,,,
skin_classic_knife_blue_steel,Classic Knife,Blue Steel,Classic Knife,790,600,460,400,340,1050,810,620,530,460,,
skin_classic_knife_stained,Classic Knife,Stained,Classic Knife,700,540,410,350,300,940,720,550,470,410,,
skin_classic_knife_case_hardened,Classic Knife,Case Hardened,Classic Knife,1575,1200,920,790,680,2125,1625,1225,1050,910,,
skin_classic_knife_forest_ddpat,Classic Knife,Forest DDPAT,Classic Knife,420,320,245,210,180,570,430,330,280,245,,
skin_classic_knife_safari_mesh,Classic Knife,Safari Mesh,Classic Knife,350,270,205,175,150,470,360,270,235,205,,
skin_classic_knife_boreal_forest,Classic Knife,Boreal Forest,Classic Knife,440,330,260,220,190,590,450,340,300,250,,
skin_classic_knife_scorched,Classic Knife,Scorched,Classic Knife,390,290,225,195,165,520,390,300,260,225,,
skin_classic_knife_urban_masked,Classic Knife,Urban Masked,Classic Knife,480,360,280,240,205,640,480,370,320,270,,
skin_classic_knife_night_stripe,Classic Knife,Night Stripe,Classic Knife,1225,940,720,620,530,1650,1250,960,830,710,,
skin_classic_knife_slaughter,Classic Knife,Slaughter,Classic Knife,1850,1400,1075,,,2475,1875,1450,,,,
skin_falchion_knife_vanilla,Falchion Knife,★ (Vanilla),Falchion Knife,,,,,,,,,,,290,360
skin_falchion_knife_crimson_web,Falchion Knife,Crimson Web,Falchion Knife,1125,860,650,560,490,1500,1150,880,760,650,,
skin_falchion_knife_fade,Falchion Knife,Fade,Falchion Knife,660,500,,,,880,670,,,,,
skin_falchion_knife_blue_steel,Falchion Knife,Blue Steel,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_stained,Falchion Knife,Stained,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_case_hardened,Falchion Knife,Case Hardened,Falchion Knife,280,215,165,145,130,380,290,220,190,165,,
skin_falchion_knife_forest_ddpat,Falchion Knife,Forest DDPAT,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_safari_mesh,Falchion Knife,Safari Mesh,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_boreal_forest,Falchion Knife,Boreal Forest,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_scorched,Falchion Knife,Scorched,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_urban_masked,Falchion Knife,Urban Masked,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_night,Falchion Knife,Night,Falchion Knife,220,175,155,145,130,290,225,195,180,160,,
skin_falchion_knife_slaughter,Falchion Knife,Slaughter,Falchion Knife,330,250,190,,,440,340,260,,,,
skin_falchion_knife_damascus_steel,Falchion Knife,Damascus Steel,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_doppler_phase_1,Falchion Knife,Doppler (Phase 1),Falchion Knife,750,570,,,,1000,770,,,,,
skin_falchion_knife_doppler_phase_2,Falchion Knife,Doppler (Phase 2),Falchion Knife,1000,760,,,,1350,1025,,,,,
skin_falchion_knife_doppler_phase_3,Falchion Knife,Doppler (Phase 3),Falchion Knife,660,500,,,,880,670,,,,,
skin_falchion_knife_doppler_phase_4,Falchion Knife,Doppler (Phase 4),Falchion Knife,880,670,,,,1175,890,,,,,
skin_falchion_knife_doppler_ruby,Falchion Knife,Doppler (Ruby),Falchion Knife,2125,1625,,,,2850,2175,,,,,
skin_falchion_knife_doppler_sapphire,Falchion Knife,Doppler (Sapphire),Falchion Knife,2350,1775,,,,3150,2400,,,,,
skin_falchion_knife_doppler_black_pearl,Falchion Knife,Doppler (Black Pearl),Falchion Knife,3125,2375,,,,4200,3200,,,,,
skin_falchion_knife_marble_fade,Falchion Knife,Marble Fade,Falchion Knife,470,360,,,,640,480,,,,,
skin_falchion_knife_rust_coat,Falchion Knife,Rust Coat,Falchion Knife,,,,145,130,,,,180,160,,
skin_falchion_knife_tiger_tooth,Falchion Knife,Tiger Tooth,Falchion Knife,450,350,,,,610,460,,,,,
skin_falchion_knife_ultraviolet,Falchion Knife,Ultraviolet,Falchion Knife,210,175,155,145,130,270,220,195,180,160,,
skin_falchion_knife_autotronic,Falchion Knife,Autotronic,Falchion Knife,360,270,210,180,155,480,370,280,240,210,,
skin_falchion_knife_black_laminate,Falchion Knife,Black Laminate,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_bright_water,Falchion Knife,Bright Water,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_freehand,Falchion Knife,Freehand,Falchion Knife,210,175,155,145,130,260,220,195,180,160,,
skin_falchion_knife_gamma_doppler_phase_1,Falchion Knife,Gamma Doppler (Phase 1),Falchion Knife,780,600,,,,1050,800,,,,,
skin_falchion_knife_gamma_doppler_phase_2,Falchion Knife,Gamma Doppler (Phase 2),Falchion Knife,1075,810,,,,1425,1075,,,,,
skin_falchion_knife_gamma_doppler_phase_3,Falchion Knife,Gamma Doppler (Phase 3),Falchion Knife,690,520,,,,920,700,,,,,
skin_falchion_knife_gamma_doppler_phase_4,Falchion Knife,Gamma Doppler (Phase 4),Falchion Knife,910,690,,,,1225,930,,,,,
skin_falchion_knife_gamma_doppler_emerald,Falchion Knife,Gamma Doppler (Emerald),Falchion Knife,2575,1950,,,,3450,2625,,,,,
skin_falchion_knife_lore,Falchion Knife,Lore,Falchion Knife,420,320,245,210,180,570,430,330,280,245,,
skin_flip_knife_vanilla,Flip Knife,★ (Vanilla),Flip Knife,,,,,,,,,,,820,1050
skin_flip_knife_crimson_web,Flip Knife,Crimson Web,Flip Knife,4025,3075,2325,2025,1725,5400,4100,3125,2700,2325,,
skin_flip_knife_fade,Flip Knife,Fade,Flip Knife,2350,1775,,,,3150,2400,,,,,
skin_flip_knife_blue_steel,Flip Knife,Blue Steel,Flip Knife,500,380,290,250,215,680,510,390,340,290,,
skin_flip_knife_stained,Flip Knife,Stained,Flip Knife,450,340,260,225,195,600,460,350,300,260,,
