SkinApiId,WeaponName,SkinName,DisplayName,FNPrice,MWPrice,FTPrice,WWPrice,BSPrice,STFNPrice,STMWPrice,STFTPrice,STWWPrice,STBSPrice,SouvenirFNPrice,SouvenirMWPrice,SouvenirFTPrice,SouvenirWWPrice,SouvenirBSPrice
,AWP,Dragon Lore,AWP Dragon Lore,210000,165000,120000,92000,72000,0,0,0,0,0,650000,500000,360000,275000,205000
,AWP,The Prince,AWP The Prince,260000,215000,170000,145000,128000,0,0,0,0,0,0,0,0,0,0
,AWP,Gungnir,AWP Gungnir,320000,260000,205000,175000,150000,0,0,0,0,0,0,0,0,0,0
,AK-47,Wild Lotus,AK-47 Wild Lotus,305000,245000,190000,160000,138000,0,0,0,0,0,0,0,0,0,0
,AK-47,Gold Arabesque,AK-47 Gold Arabesque,82000,65000,47000,35000,27000,0,0,0,0,0,195000,145000,98000,76000,60000
,M4A1-S,Welcome To The Jungle,M4A1-S Welcome To The Jungle,70000,54000,40000,30000,24000,0,0,0,0,0,165000,125000,86000,68000,55000
,AWP,Desert Hydra,AWP Desert Hydra,98000,76000,56000,44000,36000,0,0,0,0,0,235000,180000,125000,98000,80000
,AWP,Medusa,AWP Medusa,175000,140000,105000,76000,50000,0,0,0,0,0,0,0,0,0,0
,AK-47,Fire Serpent,AK-47 Fire Serpent,6500,4000,2600,1900,1600,18000,9000,5800,4200,3500,0,0,0,0,0
,AK-47,Case Hardened,AK-47 Case Hardened,5500,3500,2400,1800,1500,15000,9000,5800,4300,3500,0,0,0,0,0
,AK-47,Hydroponic,AK-47 Hydroponic,145000,112000,85000,69000,58000,0,0,0,0,0,0,0,0,0,0
,M4A4,Eye of Horus,M4A4 Eye of Horus,7000,4000,2500,2100,1600,0,0,0,0,0,24000,15000,9000,7500,6000
,M4A1-S,Imminent Danger,M4A1-S Imminent Danger,52000,38000,26000,19500,15000,0,0,0,0,0,115000,83000,56000,43000,34000
,M4A4,Poseidon,M4A4 Poseidon,48000,38000,31000,26000,22000,0,0,0,0,0,0,0,0,0,0
,M4A1-S,Knight,M4A1-S Knight,62000,56000,48000,41000,35000,0,0,0,0,0,145000,120000,90000,72000,60000
,AWP,Fade,AWP Fade,6500,6200,5600,5000,4500,0,0,0,0,0,0,0,0,0,0
,AK-47,X-ray,AK-47 X-ray,42000,25000,15000,10500,8500,0,0,0,0,0,0,0,0,0,0
,M4A1-S,Blue Phosphor,M4A1-S Blue Phosphor,5000,4800,4300,3900,3500,0,0,0,0,0,0,0,0,0,0
,AWP,Silk Tiger,AWP Silk Tiger,5500,3000,1700,1500,1300,0,0,0,0,0,0,0,0,0,0
,AK-47,Jet Set,AK-47 Jet Set,9500,4000,3000,2700,2400,0,0,0,0,0,0,0,0,0,0
,Desert Eagle,Blaze,Desert Eagle Blaze,5500,5400,4900,4500,4100,0,0,0,0,0,0,0,0,0,0
,Glock-18,Fade,Glock-18 Fade,7000,6500,5200,4500,3800,0,0,0,0,0,0,0,0,0,0
,M4A4,Howl,M4A4 Howl,285000,230000,185000,155000,0,315000,265000,215000,180000,0,0,0,0,0,0
,MP9,Wild Lily,MP9 Wild Lily,38000,31000,27000,23000,19000,0,0,0,0,0,0,0,0,0,0
,M4A1-S,Hot Rod,M4A1-S Hot Rod,12000,12500,11000,10000,9000,0,0,0,0,0,0,0,0,0,0
,AK-47,Vulcan,AK-47 Vulcan,4500,2800,1400,950,700,12000,8000,4500,3100,2400,0,0,0,0,0
,AWP,Lightning Strike,AWP Lightning Strike,4000,4200,3800,3500,3200,9500,10000,9000,8200,7500,0,0,0,0,0
,M4A1-S,Master Piece,M4A1-S Master Piece,3200,1400,900,750,650,0,0,0,0,0,5000,2200,1500,1200,1000
,P250,Nuclear Threat,P250 Nuclear Threat,1500,1100,700,500,400,0,0,0,0,0,6000,4000,2500,1800,1400
,Tec-9,Nuclear Threat,Tec-9 Nuclear Threat,2000,1400,900,650,500,0,0,0,0,0,7500,5000,3300,2500,1800
